,date,employeeType,position,work_location,Location,summary,pro,con,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
150,21-Oct-20,Current Employee,Sales Associate,"Houston, TX",W,"""Expert""",By yourself most of the day,Not able to give that review,4,5,3,3,4,2,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW37426231.htm
151,24-Jul-20,Former Employee,Technician,None,,"""BAIT AND SWITCH, BE CAREFUL""","Little to none, dying company performing obsolete work.","I was contacted by a representative of Enjoy saying that they liked my Resume and we immediately scheduled an interview for the following day, and a group interview the day after. Everything seemed fine and everyone was very communicative. They had us do some group activities via Zoom which really had no basis and was full of empty silences. Even with all that, I thought I did really well and they mentioned that they would call us back in three days. I received an email shortly after saying that “my resume didn’t fit what they were looking for” So why bother reaching out at all if we were never a fit? They are still a Private company and god knows how they’re “thriving” as they perform shady business tactics. They know they won’t survive under share holder scrutiny so they’re gonna milk this as long as they can and screw everyone else on their way. You have been warned.",1,1,1,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34419254.htm
152,3-Jan-21,Former Employee,Expert,"Birmingham, AL",SE,"""Can't believe this company is still around""",Healthcare and the pay is decent,This job is dangerous and they don't care about you,1,1,3,1,3,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW40026944.htm
153,30-May-20,Current Employee,Anonymous Employee,"Liverpool, England, England",UK,"""Overhyped, but not a bad place to work.""","-4 day work week which you can pick your shifts 

-job is actually very easy

-loads of benefits 

-day is managed mostly by yourself

-you can explore your city and surrounding areas

-good amount of holidays

-good training that can be useful for yourself as well as prospective jobs

-training can be fun, and often didn’t felt like a classroom, very casual feel to it

-feedback to management is listened to

-feedback to yourself is constructive

-decent pay

-you are paid for any extra hours you do if you are back late

-manager at my EH (Enjoy House) is amazing and cares for the well-being, safety, and timely return of experts, but some managers are very heavy on sales

-work team, including captain (manager) feels more like a group of friends than colleagues, and if you ever need help or support they’re there for you.

-environment is very positive

-NPS scores keep you motivated

-very organised

-The company actually wants feedback on what they can do to make your job better, while also improving quality of service to customers.","-10 hour shifts that you often end up being back late from due to travel time (sometimes this is just bad luck due to the nature of the job)

-hardly any sick days

-was first informed that it was not a sales job, but a customer service experience, after a while “solutions” came to be our word for sales (however, a solution doesn’t necessarily mean a sale, for example BT visits: you can get a solution by trying to knock money off of the customers bill, as well as swapping packages to cheaper ones etc)
I worked in a heavy sales job in a large tech store for a while so I’m not a stranger to sales, so this doesn’t bother me.

-some management in the company have completely lost sight of the actual meaning of enjoy, and only care about sales, this can mean some experts being told to go to a visit knowing full well they will be back late, which is unfair, as experts have a life and families to return to after a 10 hour day.

-upper management will often give the excuse of “the clay is still wet” since they are a startup company, however, they have also said this while making big improvements

-consistency with training is meh, there are some trainers who are able to keep you engaged and interested, and then there are some who feel like they are just reading a script

-set unrealistic expectations when recruited, don’t believe it’s going to be this perfect dream job, it’s like any job, there’s upsides and downsides

-they will use the winning together value to try and get you to feel bad for cancelling/rescheduling a visit even if it makes you late back, don’t let them, stand your ground

-(not really a con but kinda in the middle, as it’s understandable)cancelling and rescheduling visits usually comes as a last resort, managers will offer to pay you over time if you go and attend the visit late, however I understand this as the company gets paid per visit, and if they cancel visits all the time, they will make no revenue and therefore no job.

Overall, I’m happy working here. The job is actually very easy, especially coming from a tech background. I’ve seen a lot of negative reviews on enjoy and I don’t think a lot of them are fair, and I think this is partly due to being given this image of a perfect, well oiled machine of a job where nothing can go wrong. Then, when a visit goes over or you end up stuck in a visit it can have a massive impact on yours and your colleagues day as they will have to either pick up the slack, or you will have to play catch-up.",4,5,4,5,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33440556.htm
154,24-Jul-20,Current Employee,Captain,None,,"""Growing & Thriving""","Enjoy is a place where you can truly grow into the best version of you! The Leadership Team is incredibly caring, kind & passionate about this work. They want to see everyone succeed, grow & become the future builders of the business.","If you are not onboard for change, this job would be super challenging.",5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34424893.htm
155,5-Jan-21,Former Employee,Retail Sales Associate,"Denver, CO",W,"""Do not work here""",None really it’s all lies,"Hard to get paid. Leadership lies,",1,1,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW40155573.htm
156,30-Sep-20,Current Employee,Expert,"London, England, England",UK,"""Enjoy what you do !!""","Great team dynamic , training and development",Adjusting to current business environment,4,3,4,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW36530943.htm
157,18-Oct-20,Current Employee,Mobile Expert,None,,"""False advertising everywhere in this company""","4 day work week
Time between visits to recharge","The pay
The benefits 
Their mobile app
Being only att sales reps
Bad management 
Horrible compensation for the solutions you provide",1,5,3,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW37305619.htm
158,31-Aug-20,Former Employee,Anonymous Employee,"Palo Alto, CA",W,"""Could be better, could be worse""","Meeting great people
Learn very quickly being in a startup
Access to projects and tasks outside your job description",The company is growing in size but not the leadership needed to support that growth,3,None,3,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35462186.htm
159,23-Sep-20,Former Employee,Expert,None,,"""Great""",Great company with a great future.,"Other than sales, it’s great. But that’s part of the job.",5,None,3,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW36262928.htm
160,31-Aug-20,Former Employee,Field Expert,"Atlanta, GA",SE,"""Ehhhhh""","The pay. 
The bond that they try to have everyone as family.
Only work 4 days a week .. OT available .","Management . 
The pettiness .",3,3,4,3,2,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35465967.htm
161,1-Sep-20,Current Employee,Expert,None,,"""Wonderful place to work!""","Make your own schedule 
Three days off
Pay is really well
People you work with are awesome! 
Everyone cares!",Can’t think of any at the moment,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35495220.htm
162,16-Sep-20,Current Employee,Field Manager,None,,"""Strong Company""",Growth opportunities and potential to assist in developing others.,Work/life balance is the biggest thing,5,None,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW36033656.htm
163,23-Dec-20,Former Employee,Expert,"Leeds, England, England",UK,"""Horrible""",4days working decent wage that about it,Liars lie about everything want sales but give no incentive,1,1,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW39753790.htm
164,14-Aug-20,Former Employee,Customer Experience,"Breaux Bridge, LA",SE,"""Okay job""","Good pay, good benefits, company car.","sales hungry, cold on self care, long hours, long drives",3,2,1,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34925753.htm
165,21-Sep-20,Current Employee,Recruitment,None,,"""Great company""",Great company to work for,Could do with a pay rise,5,5,5,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW36191253.htm
166,23-Nov-20,Former Employee,Sales Expert,None,,"""Sales Driven""",Flexible schedule and 4 day work week.,Sales heavily and numbers driven. Will be underperforming and possibly let go from the company if you do not make sales opportunities.,1,3,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW38637722.htm
167,23-Apr-20,Former Employee,Expert,"Washington, DC",E,"""A cult full of lies""",4 day work week and benefits from day one,"This company is as shady as they come. You're a glorified mobile AT&T sales rep, except you don't get commission. From day one of training, they portray the position as you helping ""enjoyers"" with their new device and caring about educating them. That's not the case, as you're expected to meet sales metrics in an unreliable system and approach. They say there's room for advancement, yet they hire upper management from outside the company. They want you gloating about successful visits on their Slack channels in order to feel good about being ""essential"" during this pandemic. They have a different word for everything (e.g accessories=""solutions"", insurance=""protection"", customer=""enjoyer"" and more) and most EHs (""Enjoy Houses"") are run by ""captains"" that have not spent a day as an expert. Before you decide to work at this place, make sure you're okay selling without extra pay and being in danger of losing your job if you don't sell even though most of the time we go out to fulfill store/call center orders. Aka, the customers have already been sold to. Think hard about taking this job, trust me.",1,5,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32859096.htm
168,13-May-20,Former Employee,Field Expert,None,,"""Company has lost its way""","Good medical and dental benefits. 4 x 10 work week. In the beginning it was all about providing exceptional customer experience with many great partner companies like DJI, Sonos, Eero, Magic Leap, and AT&T.","You can probably guess where the company is headed by the fact that its only partner company is now AT&T. Yup. They will recruit you as the field expert is all about great customer experience. Once you start your job, you quickly learn you MUST meet unreasonable sales quotas or you'll be fired. It's all about selling customers extra lines of service and AT&T's phone insurance. If you don't do that, you're out of a job. So, maybe you love being a pushy sales person? Don't work here as you don't get any decent commission. You get all the sales quotas without the benefits. Make sure you love being stuck in car for 8-10 hours a day. And you'll regularly be driving 45 minutes to over an hour to each visit. Serenity Now!",1,3,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33163339.htm
169,29-Jun-20,Current Employee,Expert,"Austin, TX",W,"""Business model won't last""",4 day work weeks. On your own most of the day. Previously got to play with some cool tech. They paid for my travel for training.,"I've been out of Enjoy for over a year, but based on the more recent reviews, it seems that COVID-19 is causing this company to struggle. Their model is solely based on upselling items and promos for AT&T. Social interaction is a must to get these sales, so without it, it seems like this company is heading downhill. 


It also seems that their other partners have disbanded from them, which is a shame because I loved the Sonos and Magic Leap visits. My experience there wasn't bad but it was not helpful for my growth and it is definitely not a career. 

They promise to help you and when you show signs of progress, expectations start to become unachievable. As with my case, I struggled to sell new lines. I started getting into a groove for one week, but then didn't sell any the following week. I got a warning. At that point, I just couldn't handle the stress it gave me. I'm glad I got out when I did. I'm sure they'll recover, but be warned, you're not working for Enjoy, you're working for AT&T. 

The driving and outdated software is the worst part. You can have a visit in one part of the city and the next 1 hour away. Also, their OPUS software was severely outdated. I remember walking into a visit with a former AT&T employee and she said the OPUS software looks exactly the same as when she worked with it 7 years ago. It takes forever to get everything done. If it crashes, it could actually mess up the account. In those situations, a visit can last 2 hours thus setting you back by a lot.",2,3,4,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33966538.htm
170,8-Aug-20,Current Employee,Expert,None,,"""Unrealistic expectations""",Working 4 days a week,Unrealistic metric expectations for a job that doesn’t pay commission.,3,5,5,4,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34716077.htm
171,11-Sep-20,Current Employee,Technical Expert,"Ancaster, ON",C,"""Good job""","Benefits are good
Good work environment 
No work load","Lots of driving
Not much career opportunities",4,5,5,3,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35868632.htm
172,6-Nov-20,Former Employee,Corporate Headquarters,None,,"""Cut Throat""","Company purpose, high energy, good people","Reactive only, no proactive work. No Collaboration.",2,2,3,4,3,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW38068763.htm
173,11-Jun-20,Current Employee,Field Expert,"Fort Worth, TX",W,"""Essentially you deliver technology, set it up and offer other solutions to the ""enjoyer"" like insurance, cases, etc.""","Flexible schedule, four-day work week, benefits, room for growth if you show ambition and a team environment that coaches you up.",Start up company that's just over five years old so things change early and often so be flexible.,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33659302.htm
174,17-Jun-20,Current Employee,Expert,"London, England, England",UK,"""Management don't care""","Pay isn't bad
Days often completely empty so you can watch as much Netflix and Disney + as you like.","Unsafe - management will pressure you to go to unsafe locations just to get the numbers up.
No one listens to your concerns about safety.
Unsafe or missing equipment.
They will sack you if you ask for better working conditions.
No union.
They make out they're all about kindness and winning together but they only use these against you, you can't hold management accountable.
No prospect for career progression.
Some managers just use catchphrases to fob you off without answering questions.
Heavy sales expectations but told it's not a sales job.
They say they will help you improve if you're not achieving, but they don't.",1,1,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33746008.htm
175,21-Feb-20,Current Employee,Management,None,,"""Okay""","Good Benefits 
4 day work week","- Not much room for growth 
- Constant changes, they change major company direction and initiatives every 2 months it feels like.  
- You become very stagnant, even if when you do ""get promoted"" it's not really a promotion. You just get paid a little more to do the same thing as everyone else.
- The job becomes very repetitive 
- there's no consistency between market standards, you could be in one market and your sales quota could be a 30% higher expectation than another in order to reach a basic expectation. For example, if you work in Boston your expected sales quota could be $ per delivery. but, if you work in Texas your quota can be $$$ and you'd only be a minimum expectation whereas in Boston you'd be exceeding.",3,3,4,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32004341.htm
176,20-Feb-19,Former Employee,Expert,"Atlanta, GA",SE,"""Enjoy... Selling.""",Admittedly most (not all) of your fellow employees are amazing. The job itself isn’t usually hard but it does pose its own set of unique challenges. It also offers a great deal of flexibility in regards to your work/life balance. Seeing how you only work 4 days opposed to the usual 5 you’d work at other companies. Also the health insurance is reasonably priced.,"The cons are countless & seemingly never addressed by HQ and management. 

1. You ARE expected to sell. Do not let anyone tell you otherwise. You are a “Mobile Retail Store” per HQs exact words. If you aren’t meeting your goal, your job is threatened. Every morning during our daily huddles/meetings we go over the results and plans on how you will have to sell more. If you don’t enjoy sales, do NOT apply here. 

2. Your safety is not a concern of HQs. You are often sent to into customers homes in rough areas of town without any sort of background checks to make sure you aren’t in danger. Anytime you file a safety report, it’s read over but nothing is changed from it. Often you or another expert will be sent back to the same unsafe area or even same unsafe home. 

3. There are no growth opportunities! More often than not you either stay in the same position for years or a new comer is promoted within 6 months. If you’re a good seller, forget moving up in the company. They’ll want you to remain in your sales position to profit off your talents as much as they can. 

4. Leadership lacks empathy and knowledge. They  disconnected from what’s going on in the field daily.",3,5,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW24791853.htm
177,19-Jan-20,Current Employee,Anonymous Employee,"Chicago, IL",MW,"""Customers are now being scammed by employees That have come from cell phone stores.""","4 day work week, that’s pretty much it.","Enjoy began as an incredible idea. An Expert help would come to your home and help you set up and teach you how to use your new smart tech. The “smart last mile”.  There were no sales. The field wasn’t expected to pay for the rest of the company. 

The company was made up of creative,  intelligent, empathic people that embodied enjoy’s initial Values. Our partners paid us for our ability to bring value to their products and bands through service and a white glove approach to helping people in this new smart world. 

THIS IDEA IS DEAD.  Enjoy now is wholly a retail company with a single partner that it is in bed with. Enjoy Has now pivoted away and expects its field employees to sell all of AT&Ts products to pay for the rest of the company. 

While the HQ has grown in size with positions that are quite pointless and has moved to a multi millions dollar facility in Palo Alto. The field deals with dangerous situations. Unrealistic expectations, and zero growth, communication and pay raises. 

Field employees have seen the sneaky ways that AT&T employees cheat customers out of their money, and have learned. I have Witnessed firsthand what people are doing now to make sure they don’t get fired.",1,1,1,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW31381083.htm
178,5-Feb-20,Former Employee,Mobile Retail Expert,"Dallas, TX",W,"""Great service provided but needs to be transparent in regards to job duties""","Pay $18 an hour
4 day work week 
Work with delightful peers
Flexible working with days off
Product knowledge education","Bait and switch job description It's 70% sales 30% technician vs the 70% technician / 30% sales they tell you
Specific training on process and techniques to sell partner products 
High turnover. and lack of ability to acknowledge it's happening. People just get disappeared.
Management is recruited from outside the firm not the expert ranks. Just look at LinkedIn for data.
Below standard software and tools  in comparison to level of funding",2,3,2,5,2,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW31702058.htm
179,19-Aug-20,Former Employee,Mobile Expert,"Washington, DC",E,"""Stay far far away""",Benefits start from day one,"Where do I begin
- unrealistic sales quotas with NO commission 
- if you have a family emergency don’t expect a sick leave, they will make you use your PTO
- horrible management; they hire outside people with zero mobile retail experience to lead expert. Like why do I have 5 years of mobile retail experience and my captain has 0? 
- they’ll lie to your face. Orientation and interviews are glammed up to be this amazing customer focused job meant to bring a white glove service to the customer, oh excuse me enjoyer. They also heavily push you to find a way to get them to buy accessories oh wait, “solutions” and let’s not forget the insurance, wait I meant “protection” think of this from a customers perspective, as a client YOURE offer a free device set up, awesome right? But wait why is my tech guy/gal pitching me cases, screen protectors and insurance or adding lines? If someone’s capable of ordering a phone online they’re more than capable of already knowing whether or not they wanted any accessories and adding lines to their plan. Let’s be real here no one wants their amazon guy selling them extra items at their doorstep. Most enjoyers assume we’re a set up/delivery company and they love it but majority visits are turned sour and full of lies when the sales come into place. 
- they don’t care about their values the way they claim. One of their newer values is “justice” but you’re also not supposed to drop off a phone in an “unsafe” neighborhood, are lower class people not allowed to have a nice phone? Who are we to judge? And that’s not including the horrible work life balance, they’ll force you to do an early visit attempt for the next day if you’ve completed your days visits early and instead of going home early to your family like they say they want you to now you’re stuck driving 45 minutes for someone who was scheduled for tomorrow. 
- blatant favoritism, if you’re not brown nosing your captain you get 0 recognition and for a job that pushes sales with no commission a quick shout out would feel good since my efforts aren’t compensated but not even that. 
- no real room to grow. They’ll tell you they hire from within but the most you can do is lead expert or fulfillment and even those you need to have been a regular expert for 6 months and continuously hit unrealistic sales quotas plus have 10/10 customer service reviews to even be considered.
- get ready to let your health go down the drain, you’ll be eating out 4/7 days of the week and unless you can stomach chips and sandwiches every one of those days don’t expect to pack lunch. 
- breaks are COMPLETELY ILLEGAL. For a 10 hour shift we only get a 30 minute break that is heavily monitored from start to finish, I’ve been in situations where my visit is deep into the country side and the closest food is 15 minutes away but as soon as my lunch drops I have to take it, that’s 15 minutes gone, next I order the food and wait, another 5-7 gone, now I have less than 12 minutes to Scarf down all my food and hit the road again. Recently they tried to compensate that by adding 2 ten minute breaks between the days but those are pointless, in total you’re only getting 50 minutes of downtime and driving /ordering considering more like 25 minutes. At least in my state for every 4hr worked you get a 30 minute break, for every 2 hours worked you get 10 minutes so realistically we’d need at least 90-120 minute breaks for our shift and I’d rather lose the pay on that break than suffer. 
- if you’re a POC and kiss up enough you might get promoted to keep face of the company but just know higher ups are all Caucasian who’ve been hired from outside the company. I’ve met maybe 3-5 POC captains since I worked at enjoy but almost 70 Caucasian’s. 
- you’re expected to work regardless of weather, we had a hurricane warning recently and our captain said and I quote “bring an extra change of clothes just in case” why would I ever have to do that? If the conditions aren’t safe then have the decency to protect your people, this company is money hungry
- when you call out the managers or company in general of their flaws their excuse is always “were a start up” but it’s been 5 years, the least you could’ve done in that time is listen to your experts And add in commission and real room for growth in the company



There’s more but I’ll leave it here.",1,2,1,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35067569.htm
180,11-Aug-20,Current Employee,Expert,"Toronto, ON",C,"""Amazing managers""","Management is really helping and easy to approach, loved the work culture, and the thinking of growing together.",I did not find any cons in the company.,5,3,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34815187.htm
181,21-Mar-20,Current Employee,Expert,"Atlanta, GA",SE,"""Malignant Narcissism and a Dangerous Work Environment""","If you get COVID-19 at work, you will get 8 free shifts paid.","In the middle of government mandated shutdowns across the country for a pandemic, the CEO changed the entire purpose of the company to stay open as long as possible.  

The CEO has made an entire 6 year company out of saying this was not a ""delivery company"" and has now decided that we fall under an essential business under the auspice that Enjoy delivers essential services.  

I didn't know that when I was hired I was on par with a fire fighter, police office or paramedic.  Leadership literally said, ""we are first responders"".  

Enjoy is sending experts into homes of customers during the pandemic and is not providing the supplies we need to keep ourselves safe and clean.  I have to drive around when my city is shut down to find a place to go to the bathroom and wash my hands.",1,1,1,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32443801.htm
182,11-Apr-20,Former Employee,Learning Experience Designer,None,,"""I would return to work for Enjoy HQ anytime!""","- Amazing feedback culture
- Applicable and thoughtful company values
- Diverse work culture
- Opportunities for travel
- Unlimited PTO
- Lunch provided four days a week at HQ","- Opportunities to promote are hard to come by and hard won
- Misalignment between HQ and Field employees",4,2,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32692053.htm
183,26-Nov-20,Former Employee,Captain,None,,"""Not a good fit""",Only pro was getting paid.,"Read past reviews, they are accurate.",1,None,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW38756227.htm
184,16-Jun-20,Current Employee,IT Operations Manager,"Palo Alto, CA",W,"""A Kindness Driven Employer""","Be a part of something new. Retail finally having the digital age refresh it needs. Great employment opportunities across the organization. Kind, strong leaders always with the whole organization at the front of their minds.",This is not the place to work if you do not like to be busy or work hard.,5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33737423.htm
185,13-Dec-18,Current Employee,Expert,"Los Angeles, CA",W,"""I’m really Enjoying it!""","I am so truly thankful to work for Enjoy. I used to work for Apple, and the difference in culture is palpable. Enjoy has so much integrity. When they say they care about their people — it’s not just with words, it’s with actions. My Captains go out of their way to help throughout your day, they care about your development outside of Enjoy and show it through how they conduct themselves. The independence to schedule visits and plan your day is so empowering. They don’t micromanage, they just hire proactive and thoughtful people who manage their own time and days. I absolutely love how involved upper management is as well. It feels like we are a team—there is no “corporate” and retail — there is just us.","Some people get frustrated with the daily schedule and travel times — I have absolutely no issues with it. The time alone traveling between visits is a god-send, allowing me to decompress and refocus, listen to audiobooks, listen to music, think about life. The company is constantly evolving and changing and trying new things out — which is incredible! Some people get frustrated by the changes and tweaks. They clay is still wet and our feedback is literally acted upon, not just “heard” or tallied.",5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW23822128.htm
186,17-Mar-20,Current Employee,Captain,None,,"""Good place for growth if you thrive off challenges and figuring out solutions.""","Partnership and support from direct managers and team, given the team is aligned with the vision and a team players in being adaptable with the grit to win.","Company is continuing to grow and optimize areas of the business, which means there is a heightened sense of responsibility - absolutely necessary: which is great for some, but for those that are just looking for a walk in the park, this is not the job for you.",4,4,5,3,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW32403032.htm
187,30-Jun-20,Current Employee,Field,"Edinburgh, Scotland, Scotland",UK,"""Amazing place to work""","Company culture, friendly people, four day work week",Have not come across any cons yet,5,5,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33976924.htm
188,31-May-20,Current Employee,Field Manager,"Salt Lake City, UT",W,"""Manager""","Amazing work culture, very good outlook for job security","With it being a start up, the constant change could at times make it difficult to ensure communication is clear. But with every start up, that is a normal growing pain. Stay adaptable",5,4,5,4,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33451346.htm
189,21-Jul-20,Current Employee,Fulfillment Associate,None,,"""Awesome place to work!""","Awesome place to work, great atmosphere!",Needs better communication through all departments.,5,4,4,4,4,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW34345819.htm
190,14-Oct-19,Current Employee,Field Expert,"Birmingham, England, England",UK,"""More like a family than a company!""","Amazing place to work, Captains (Richard & Yusuf) are always there to provide help and support whenever I need it and never dismissive, Colleagues help each other without having to ask and really emphasise the core ideal of winning together. Having met Ron Johnson it’s hard not to get swept up in his vision and he’s truly an inspirational leader.  I always look forward to work and for me personally that’s how I know how awesome Enjoy is.

Day to day work allows me the freedom to work through my schedule without someone constantly over my shoulder, but again this is down to having awesome captains. It’s truly refreshing to work for an organisation that provides me with so much care, trust and support and in turn it makes you want to do as much as you can to help.  Honestly cannot recommend Enjoy enough!","None, though it does take a little while to get used to the early starts.",5,5,5,5,5,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW29801728.htm
191,12-May-20,Former Employee,Expert,"Los Angeles, CA",W,"""Decent company""",You get to travel and meet so many cool people.,"They recently changed their company model from not being sales to driving nothing but sales which is not what a lot of people were told when they were originally hired. They really don’t pay out the way they should for all the sales agents make the company. If i worked at AT&T, sprint or Verizon all the internet , AAL and accessories i sold they would’ve compensated me for but that’s not the case. This can be a very dangerous job and for the little pay it’s not worth it .",2,3,3,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW33145861.htm
192,14-Sep-20,Former Employee,Field Expert,"Costa Mesa, CA",W,"""Eh""","Flexible schedule, built-in overtime pay","alot of driving, basically door-to-door sales, micro-managing management, overly-glorified everything",2,None,3,1,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW35937141.htm
193,21-Nov-19,Former Employee,Field Expert,"Seattle, WA",W,"""Be VERY careful""","Good benefits, stock options after a year and 401K match at 6 percent.","SOOO many to name... they give you an amazing song and dance at training. It's all about you and how special you are to the company.  How you matter, your voice matters, you can ""write"" you're own ticket etc...THIS IS NOT TRUE. They will turn on you instantly. If you want a job where you are expected to work 12 hour days, come in on your days off for meetings, are told this is not a sales job- but it IS, told you have only 30 minutes with a client but you HAVE to meet several goals...then this is the job for you. You are essentially working for AT&T so why not go work at AT&T and make a LOT more money?? You cannot trust management here.... I watched it happen over and over... be careful.",1,1,3,2,1,None,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW30511482.htm
